http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,838,901,888,918,1004,1183,1207,,,,1324
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,1114,1204,1019,1061,921,1164,1142,,,,1272
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,1182,1224,1299,1338,1312,1478,1494,,,,1888
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,876,861,828,982,1099,1195,1257,,,,1450
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,795,812,771,917,863,923,933,,,,1030
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,1470,1575,1489,1612,1617,1682,1832,,,,1747
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,1209,1200,1252,1405,1368,1598,1754,,,,2084
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,1438,1484,1405,1557,1546,1722,1815,,,,1874
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,1267,1208,1180,1343,1355,1488,1602,,,,1656
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,953,1024,958,1058,1058,1176,1196,,,,1392
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,1397,1396,1032,1262,1145,1302,1340,,,,1504
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",1117,1074,986,1069,1228,1240,1232,,,,1367
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,898,905,926,1048,1028,1225,1193,,,,1310
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,1015,1064,996,1085,1192,1461,1257,,,,1701
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,1222,1089,1219,1197,1201,1298,1296,,,,1403
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,851,964,986,1127,1328,1376,1499,,,,1665
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,1035,928,944,1011,990,1109,1140,,,,1101
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,996,1121,1066,1208,1327,1234,1237,,,,1404
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",932,983,930,1065,1128,1102,1123,,,,1408
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,809,934,760,747,846,990,1014,,,,999
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,1184,1281,1196,1154,1333,1390,1385,,,,1730
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,375,428,365,409,447,413,394,,,,397
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,744,803,749,747,831,923,907,,,,896
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,183,175,195,199,239,328,271,,,,280
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,995,989,960,1080,1058,1215,1406,,,,1460
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,747,845,689,902,950,979,1036,,,,1076
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,750,820,756,879,987,1073,1050,,,,1099
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,780,811,758,902,927,924,1083,,,,1191
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,886,908,845,949,955,1090,1283,,,,1360
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,908,1017,1000,1051,1061,1300,1329,,,,1457
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,248,270,239,259,329,254,340,,,,365
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",750,767,757,786,908,938,882,,,,996
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,805,856,865,942,1039,1045,1096,,,,1039
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,847,900,817,895,919,1012,1007,,,,1181
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,1197,1165,1210,1319,1357,1292,1324,,,,1575
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,,,,,,,,,,,8325
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,,,,,,,,,,,2090
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,,,,,,,,,,,2474
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,,,,,,,,,,,5526
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,,,,,,,,,,,4614
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,,,,,,,,,,,7824
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,,,,,,,,,,,22966
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,,,,,,,,,,,4581
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,,,,,,,,,,,12324
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,,,,,,,,,,,13075
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,,,,,,,,,,,280
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,,,,,,,,,,,365
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,,,,,,,,,,,6872
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,,,,,,,,,,,397
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,155,183,190,159,,,,,,,173
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",98,101,107,121,,,,,,,111
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",187,189,169,197,,,,,,,231
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,96,97,89,95,,,,,,,128
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,285,291,266,262,,,,,,,308
http://statistics.gov.scot/id/statistical-geography/S13002718,Airdrie North,289,311,305,369,,,,,,,410
http://statistics.gov.scot/id/statistical-geography/S13002722,Airdrie South,275,270,270,303,,,,,,,299
http://statistics.gov.scot/id/statistical-geography/S13002486,Airyhall / Broomhill / Garthdee,159,183,184,192,,,,,,,207
http://statistics.gov.scot/id/statistical-geography/S13002583,Almond,221,238,218,239,,,,,,,350
http://statistics.gov.scot/id/statistical-geography/S13002746,Almond and Earn,88,99,65,90,,,,,,,135
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,40,46,30,57,,,,,,,61
http://statistics.gov.scot/id/statistical-geography/S13002650,Anderston / City,273,297,275,345,,,,,,,309
http://statistics.gov.scot/id/statistical-geography/S13002544,Annandale East and Eskdale,67,63,74,61,,,,,,,114
http://statistics.gov.scot/id/statistical-geography/S13002543,Annandale North,180,191,178,163,,,,,,,195
http://statistics.gov.scot/id/statistical-geography/S13002542,Annandale South,206,218,217,201,,,,,,,252
http://statistics.gov.scot/id/statistical-geography/S13002553,Annick,123,114,106,109,,,,,,,222
http://statistics.gov.scot/id/statistical-geography/S13002514,Arbroath East and Lunan,176,230,225,204,,,,,,,252
http://statistics.gov.scot/id/statistical-geography/S13002513,Arbroath West and Letham,181,191,204,127,,,,,,,199
http://statistics.gov.scot/id/statistical-geography/S13002708,Ardrossan and Arran,220,212,212,217,,,,,,,352
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,127,137,145,206,,,,,,,274
http://statistics.gov.scot/id/statistical-geography/S13002791,Avondale and Stonehouse,212,167,187,176,,,,,,,254
http://statistics.gov.scot/id/statistical-geography/S13002782,Ayr East,200,188,202,217,,,,,,,320
http://statistics.gov.scot/id/statistical-geography/S13002781,Ayr North,279,297,316,315,,,,,,,489
http://statistics.gov.scot/id/statistical-geography/S13002783,Ayr West,166,187,178,196,,,,,,,294
http://statistics.gov.scot/id/statistical-geography/S13002682,Badenoch and Strathspey,117,111,123,144,,,,,,,169
http://statistics.gov.scot/id/statistical-geography/S13002660,Baillieston,538,460,465,547,,,,,,,714
