year,la_code,la_name,la_simd_mean,la_simd_rank,la_simd_income_mean,la_simd_income_rank,la_simd_employ_mean,la_simd_employ_rank,la_simd_edu_mean,la_simd_edu_rank,la_simd_health_mean,la_simd_health_rank,la_simd_access_mean,la_simd_access_rank,la_simd_crime_mean,la_simd_crime_rank,la_simd_housing_mean,la_simd_housing_rank,la_pop_total,la_pop_total_rank,la_workpop_total,la_workpop_total_rank
2020,S12000018,Inverclyde,2532.3859649122805,3,2506.714912280702,3,2332.565789473684,1,2937.9824561403507,7,2352.6929824561403,4,3663.438596491228,27,3465.2631578947367,11,2537.5482456140353,2,78760,28,49776,28
2020,S12000019,Midlothian,3367.182608695652,12,3497.2608695652175,15,3448.121739130435,14,3084.391304347826,9,3473.0173913043477,14,3040.104347826087,13,3037.75652173913,6,3717.3565217391306,11,90090,25,56175,26
2020,S12000020,Moray,3987.3968253968255,23,3986.936507936508,23,3995.1468253968255,23,3582.4920634920636,15,4585.849206349207,28,2996.6746031746034,12,4056.690476190476,23,4443.980158730159,27,95780,22,59364,23
2020,S12000021,North Ayrshire,2610.3709677419356,4,2580.7849462365593,4,2516.967741935484,4,2983.6182795698924,8,2445.4139784946237,5,3422.6451612903224,24,3515.951612903226,15,3549.0456989247314,10,135790,15,83169,15
2020,S12000050,North Lanarkshire,2620.642058165548,5,2742.3657718120803,6,2731.913870246085,6,2460.6398210290827,1,2346.539149888143,3,3196.912751677852,18,2999.668903803132,4,2998.6800894854587,7,339960,4,219694,4
2020,S12000023,Orkney Islands,4052.206896551724,24,4383.551724137931,28,4338.758620689655,26,3889.103448275862,22,4611.172413793103,30,2170.655172413793,3,4945.724137931034,31,3816.706896551724,13,22000,32,13382,32
2020,S12000048,Perth and Kinross,4268.758064516129,28,4287.701612903225,26,4347.717741935484,27,4032.0806451612902,25,4441.870967741936,26,2792.1344086021504,8,4743.962365591397,29,4184.25,20,151100,12,92132,13
2020,S12000038,Renfrewshire,3312.5644444444442,10,3374.6466666666665,10,3232.717777777778,9,3507.751111111111,14,2895.3155555555554,8,3571.0933333333332,26,3623.5155555555557,17,3285.928888888889,8,176830,10,113843,10
2020,S12000026,Scottish Borders,3806.048951048951,21,3801.7342657342656,22,3765.681818181818,21,3987.909090909091,24,3995.230769230769,19,3068.853146853147,15,4188.06993006993,24,4518.353146853146,28,115020,18,68295,18
2020,S12000027,Shetland Islands,4223.8,26,4837.766666666666,31,4608.8,29,4373.766666666666,28,4682.3,31,1772.7666666666667,2,4891.433333333333,30,4006.8166666666666,16,23080,31,14365,31
2020,S12000028,South Ayrshire,3438.8366013071895,15,3411.87908496732,11,3342.62091503268,11,3649.3856209150326,18,2978.503267973856,10,3408.718954248366,23,3984.6013071895427,21,4322.64705882353,25,112680,19,67184,19
2020,S12000029,South Lanarkshire,3277.6055684454755,9,3233.1160092807427,9,3254.5011600928074,10,3438.503480278422,13,2932.6542923433876,9,3516.058004640371,25,3494.236658932715,14,3736.2737819025524,12,318170,5,202763,5
2020,S12000030,Stirling,4203.900826446281,25,4252.702479338843,24,4225.371900826446,25,4257.429752066116,26,4405.917355371901,25,2995.2396694214876,11,3664.0661157024792,18,4228.6859504132235,22,94000,24,60838,22
2020,S12000039,West Dunbartonshire,2362.9421487603304,2,2401.099173553719,2,2373.9214876033056,2,2549.0826446280994,3,2247.8429752066118,2,2855.528925619835,9,3037.4628099173556,5,2715.119834710744,5,89610,26,57491,24
2020,S12000040,West Lothian,3486.3430962343095,16,3513.610878661088,17,3456.6380753138073,15,3391.682008368201,12,3201.949790794979,11,3361.175732217573,21,3468.154811715481,12,4088.8410041841003,19,181310,9,116649,9
2016,S12000033,Aberdeen City,4432.063604240283,29,4531.915194346289,27,4683.508833922261,28,3646.7314487632507,16,4130.459363957597,21,4357.070671378092,29,3291.180212014134,11,2920.441696113074,6,228990,7,160284,6
2016,S12000034,Aberdeenshire,4883.967647058824,30,5071.1882352941175,32,5243.544117647059,32,4230.161764705882,29,5244.294117647059,32,2524.179411764706,5,4755.620588235294,29,4790.614705882353,29,260500,5,164803,5
2016,S12000041,Angus,3978.632258064516,21,3889.6838709677418,21,4011.0516129032258,21,3873.883870967742,21,4260.645161290323,23,3239.5225806451613,18,3967.3161290322582,19,4213.761290322581,21,116660,16,70674,16
2016,S12000035,Argyll and Bute,3555,18,3709.608,18,3668.464,18,4092.008,24,3890.336,19,2535,6,4151.344,22,3501.448,9,87660,25,52414,26
2016,S12000005,Clackmannanshire,3082.375,8,3096.027777777778,8,2869.9166666666665,8,3050.9166666666665,6,3369.152777777778,12,3166.6388888888887,17,3294.402777777778,12,4029.347222222222,18,51190,28,32450,28
2016,S12000006,Dumfries and Galloway,3432.6616915422887,16,3434.945273631841,12,3472.910447761194,16,3590.6915422885572,15,3782.129353233831,16,2857.2139303482586,8,4150.9900497512435,21,4273.567164179104,24,149940,11,89388,13
2016,S12000042,Dundee City,2785.2659574468084,7,2717.6436170212764,6,2663.7978723404253,6,2780.1063829787236,4,2647.25,7,4429.281914893617,30,3001.308510638298,4,2564.026595744681,3,148260,13,98001,11
2016,S12000008,East Ayrshire,2736.1779141104294,6,2795.59509202454,7,2736.472392638037,7,2914.9263803680983,5,2620.2147239263804,6,2962.6503067484664,12,3231.6380368098157,10,3903.0674846625766,15,122150,15,77123,15
2016,S12000045,East Dunbartonshire,4941.423076923077,31,4800.384615384615,30,4689.815384615385,29,5364.7692307692305,31,4405.007692307692,25,3076.1846153846154,13,4613.384615384615,27,4801.615384615385,30,106730,19,65060,19
2016,S12000010,East Lothian,3979.4166666666665,22,3850.7045454545455,20,3893.4242424242425,20,3835.1742424242425,20,4165.545454545455,22,3259.530303030303,19,4094.507575757576,20,3852.5757575757575,14,102050,20,63101,20
2016,S12000011,East Renfrewshire,5178.319672131148,32,4781.434426229508,29,4825.606557377049,30,5652.516393442623,32,4516.081967213115,30,4106.893442622951,28,4668.836065573771,28,4841.6557377049185,31,92380,22,55962,24
2016,S12000036,City of Edinburgh,4402.137353433835,28,4269.8877721943045,25,4285.199329983249,25,4207.423785594639,27,4470.705192629815,29,4708.524288107203,31,2743.8726968174205,3,2687.5845896147403,4,492680,1,341302,1
2016,S12000013,Na h-Eileanan Siar,3286.0833333333335,11,3450.5,13,3661.1388888888887,17,4153.861111111111,25,3843.6111111111113,18,1256.0277777777778,1,5316.25,32,4851.944444444444,32,27250,29,16205,29
2016,S12000014,Falkirk,3411.5794392523367,15,3453.8971962616824,15,3276.228971962617,11,3281.2943925233644,10,3484.266355140187,14,3378.0560747663553,23,3223.9906542056074,9,4255.107476635514,23,157640,10,100484,10
2016,S12000047,Fife,3496.074898785425,17,3457.6497975708503,16,3361.6882591093117,13,3399.8906882591095,12,3631.668016194332,15,3276.8724696356276,20,3722.3967611336034,17,4359.502024291498,26,367260,2,230092,2
2016,S12000049,Glasgow City,2219.0040214477212,1,2086.441018766756,1,2257.1407506702412,1,2365.3002680965146,1,2137.6662198391423,1,4863.860589812332,32,2269.8699731903484,1,1258.9061662198392,1,NA,32,NA,32
2016,S12000017,Highland,3728.647435897436,19,3915.4615384615386,22,4015.1153846153848,22,3661.1346153846152,17,4103.1891025641025,20,2322.0416666666665,4,4288.419871794872,24,4024.3429487179487,17,233100,6,143609,7
2016,S12000018,Inverclyde,2609.4824561403507,5,2642.5263157894738,4,2451.464912280702,3,3136.3859649122805,9,2372,3,3512.3508771929824,27,3171.4298245614036,8,2537.5701754385964,2,79860,27,50519,27
2016,S12000019,Midlothian,3402.365217391304,14,3475.2608695652175,17,3391.4434782608696,14,3109.791304347826,8,3469.182608695652,13,3509.3391304347824,26,3050.24347826087,5,3717.417391304348,11,86210,26,53724,25
2016,S12000020,Moray,4172.103174603175,25,4123.785714285715,23,4228.825396825397,24,3756.5079365079364,19,4687.722222222223,31,2941.9285714285716,10,4152.253968253968,23,4444.023809523809,27,94750,21,58573,22
2016,S12000021,North Ayrshire,2592.8602150537636,3,2532.9139784946237,3,2501.440860215054,4,3080.2688172043013,7,2515.483870967742,5,3347.1021505376343,22,3076.6935483870966,7,3549.1021505376343,10,136450,14,83786,14
2016,S12000050,North Lanarkshire,2594.8993288590605,4,2677.2953020134228,5,2599.489932885906,5,2586.539149888143,2,2455.5682326621923,4,3129.434004474273,16,3073.82774049217,6,2998.7136465324384,7,337950,3,217867,3
2016,S12000023,Orkney Islands,4153.620689655172,24,4561.827586206897,28,4633.9655172413795,27,3917.3793103448274,22,4429.931034482759,27,1890.4137931034484,3,5161.931034482759,31,3816.7241379310344,13,21590,31,13254,31
2016,S12000048,Perth and Kinross,4288,27,4283.532258064516,26,4376.682795698925,26,4202.408602150537,26,4425.822580645161,26,2732.930107526882,7,4509.397849462365,26,4184.311827956989,20,148880,12,90994,12
2016,S12000038,Renfrewshire,3228.76,10,3335.5333333333333,10,3155.928888888889,10,3437.1511111111113,14,2827.6355555555556,8,3397.9644444444443,24,3557.92,16,3285.9733333333334,8,174230,9,111478,9
2016,S12000026,Scottish Borders,3784.769230769231,20,3795.72027972028,19,3793.7762237762236,19,3984.958041958042,23,3791.86013986014,17,2941.937062937063,11,4498.258741258741,25,4518.426573426574,28,114030,17,67953,17
2016,S12000027,Shetland Islands,4266.233333333334,26,4916.166666666667,31,4953.8,31,4279.366666666667,30,4465.5,28,1705.9666666666667,2,4892.1,30,4006.8,16,23230,30,14568,30
2016,S12000028,South Ayrshire,3390.248366013072,12,3350.653594771242,11,3287.777777777778,12,3664.2287581699347,18,2964.3137254901962,9,3497.4444444444443,25,3877.529411764706,18,4322.673202614379,25,112510,18,67625,18
2016,S12000029,South Lanarkshire,3183.357308584687,9,3197.8352668213456,9,3069.6403712296983,9,3394.0719257540604,11,3038.415313225058,10,3314.519721577726,21,3430.6519721577724,14,3736.30626450116,12,315360,4,201119,4
2016,S12000030,Stirling,4147.082644628099,23,4221.801652892562,24,4124.851239669421,23,4223.1322314049585,28,4394.165289256199,24,3114.5371900826444,15,3476.5537190082646,15,4228.719008264463,22,91580,23,58702,21
2016,S12000039,West Dunbartonshire,2332.884297520661,2,2337.685950413223,2,2262.471074380165,2,2752.00826446281,3,2253.03305785124,2,2916.5371900826444,9,2677.776859504132,2,2715.1570247933882,5,89730,24,57734,23
2016,S12000040,West Lothian,3395.694560669456,13,3453.4518828451883,14,3417.949790794979,15,3427.912133891213,13,3167.7322175732215,11,3081.6234309623433,14,3407.8200836820083,13,4088.899581589958,19,177150,8,114087,8
2012,S12000033,Aberdeen City,3996.5355805243444,27,4215.621722846442,27,4174.651685393258,26,3535.2921348314608,17,3273.756554307116,14,4053.183520599251,29,2833.243445692884,8,3123.9737827715358,10,217120,8,146068,7
2012,S12000034,Aberdeenshire,4524.946843853821,30,4699.940199335548,32,4815.43853820598,32,4137.900332225913,29,4732.186046511628,32,2336.215946843854,6,4343.890365448505,28,4441.106312292359,31,245780,6,152432,6
2012,S12000041,Angus,3698.887323943662,21,3593.450704225352,18,3642.0704225352115,20,3662.93661971831,20,4030.0774647887324,25,2817.9647887323945,11,3850.0845070422533,23,4009.1197183098593,22,110570,19,65149,19
2012,S12000035,Argyll and Bute,3370.0819672131147,17,3668.55737704918,20,3608.3196721311474,18,3824.7868852459014,25,3590.6065573770493,18,2138.3934426229507,4,3773.6393442622953,22,3073.9180327868853,9,89200,25,52493,26
2012,S12000005,Clackmannanshire,2947.265625,9,2757.203125,8,2600.203125,8,3220.671875,12,3560.265625,16,3063.96875,20,2819.40625,7,4056.125,24,50630,29,31646,29
2012,S12000006,Dumfries and Galloway,3305.4715025906735,16,3264.3316062176164,16,3352.518134715026,16,3551.5906735751296,18,3768.7616580310882,21,2403.2383419689118,7,3926.476683937824,24,3813.1554404145077,18,148190,12,86055,14
2012,S12000042,Dundee City,2542.513966480447,7,2470.413407821229,6,2350.6759776536314,5,2635.3743016759777,5,2509.787709497207,7,4420.608938547486,31,2579,3,2054.631284916201,2,144290,14,91285,12
2012,S12000008,East Ayrshire,2496.5064935064934,6,2557.655844155844,7,2536.12987012987,7,2550.4025974025976,3,2263.3311688311687,3,2868.7077922077924,13,3041.5779220779223,9,3645.0194805194806,14,120240,16,74528,16
2012,S12000045,East Dunbartonshire,4652.244094488189,31,4575.63779527559,29,4444.622047244095,28,4906.007874015748,31,4392.4094488188975,30,2624.8267716535433,9,4048.5905511811025,25,4526.157480314961,32,104580,20,63099,20
2012,S12000010,East Lothian,3778.9333333333334,23,3649.275,19,3623.4666666666667,19,3778.516666666667,24,3954.55,23,3116.75,22,3634.366666666667,20,3773.133333333333,16,97500,21,58618,21
2012,S12000011,East Renfrewshire,4909.425,32,4587.591666666666,30,4503.916666666667,29,5427.558333333333,32,4463.958333333333,31,3768.175,28,4299.4,26,4431.633333333333,30,89540,24,53407,24
2012,S12000036,City of Edinburgh,4188.069216757742,29,3990.2058287795994,25,4173.222222222223,25,3852.621129326047,27,4171.837887067395,28,4308.502732240438,30,3127.309653916211,10,2562.189435336976,5,486120,2,334095,2
2012,S12000013,Na h-Eileanan Siar,2768.527777777778,8,3028.9166666666665,9,3403.3888888888887,17,3838.777777777778,26,2867.4166666666665,11,779.6666666666666,1,4489.833333333333,30,3544.3888888888887,13,26190,30,15329,30
2012,S12000014,Falkirk,3221.1522842639592,13,3151.9187817258885,12,2943.238578680203,11,3131.786802030457,11,3610.3553299492387,19,3305.3807106598983,25,3207.8781725888325,13,4153.756345177665,29,153280,11,95823,11
2012,S12000047,Fife,3227.0883002207506,15,3168.5320088300223,13,3110.1766004415013,12,3045.57174392936,8,3564.099337748344,17,2947.474613686534,17,3409.57174392936,16,4136.121412803532,26,365020,3,225615,3
2012,S12000049,Glasgow City,2001.9466858789626,1,1922.9308357348702,1,2066.3342939481267,1,2057.9020172910664,1,1949.2435158501441,1,4558.508645533141,32,2118.605187319885,1,1011.2262247838617,1,592820,1,403573,1
2012,S12000017,Highland,3437.917808219178,19,3686.332191780822,21,3754.595890410959,21,3413.1438356164385,16,3619.9143835616437,20,2162.448630136986,5,3718.25,21,3797.667808219178,17,221630,7,134399,8
2012,S12000018,Inverclyde,2289.7090909090907,3,2373.809090909091,3,2152.5,3,2868.390909090909,6,2033.9,2,2948,18,2738.327272727273,5,2416.7181818181816,4,79770,28,49332,28
2012,S12000019,Midlothian,3375.625,18,3308.7053571428573,17,3238.8035714285716,15,3117.6696428571427,10,3556.660714285714,15,3371,27,3283.5,14,3523.589285714286,12,81140,27,49675,27
