la_code,la_name,date_code,measurement,units,value,type_of_tenure,household_type,age,gender,limiting_long_term_physical_or_mental_health_condition
S12000038,Renfrewshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,Owned Outright,All,All,All,All
S12000036,City of Edinburgh,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.55,All,With Children,All,All,All
S12000034,Aberdeenshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,Adults,All,All,All
S12000013,Na h-Eileanan Siar,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,All,All,35-64 years,All,All
S12000041,Angus,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,All,Pensioners,All,All,All
S12000008,East Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.92,All,All,35-64 years,All,All
S12000040,West Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.61,All,Adults,All,All,All
S12000050,North Lanarkshire,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,Pensioners,All,All,All
S12000047,Fife,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.28,All,All,All,All,All
S12000047,Fife,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.5,All,All,16-64 years,All,All
S12000008,East Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.22,All,All,All,All,All
S12000048,Perth and Kinross,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.89,All,All,16-64 years,All,All
S12000006,Dumfries and Galloway,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.94,All,All,All,All,All
S12000017,Highland,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,All,All,16-64 years,All,All
S12000018,Inverclyde,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,All,16-64 years,All,All
S12000019,Midlothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.04,All,All,16-64 years,All,All
S12000023,Orkney Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.26,All,All,16-64 years,All,All
S12000021,North Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,All,16-64 years,All,All
S12000019,Midlothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.69,All,All,All,All,All
S12000021,North Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,All,All,All
S12000050,North Lanarkshire,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.17,All,With Children,All,All,All
S12000042,Dundee City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,All,All,All
S12000041,Angus,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,All,All,All,All,All
S12000045,East Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,All,All,All
S12000005,Clackmannanshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.46,Owned Mortgage/Loan,All,All,All,All
S12000005,Clackmannanshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,Owned Outright,All,All,All,All
S12000006,Dumfries and Galloway,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.29,Owned Mortgage/Loan,All,All,All,All
S12000008,East Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.03,Owned Outright,All,All,All,All
S12000006,Dumfries and Galloway,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.83,Rented,All,All,All,All
S12000050,North Lanarkshire,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,Adults,All,All,All
S12000042,Dundee City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.87,All,All,16-64 years,All,All
S12000010,East Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.78,All,All,All,All,All
S12000040,West Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.39,All,All,16-64 years,All,All
S12000045,East Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.57,All,All,16-64 years,All,All
S12000041,Angus,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.61,All,All,16-64 years,All,All
S12000005,Clackmannanshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.61,All,All,All,All,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.67,All,All,35-64 years,All,All
S12000030,Stirling,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.12,Rented,All,All,All,All
S12000028,South Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.11,All,All,16-34 years,All,All
S12000039,West Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.62,Owned Outright,All,All,All,All
S12000039,West Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.73,All,Adults,All,All,All
S12000035,Argyll and Bute,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.68,Owned Mortgage/Loan,All,All,All,All
S12000035,Argyll and Bute,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.5,Rented,All,All,All,All
S12000028,South Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,All,35-64 years,All,All
S12000042,Dundee City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.75,All,With Children,All,All,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.15,All,With Children,All,All,All
S12000038,Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.23,All,Adults,All,All,All
S12000017,Highland,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,35-64 years,All,All
S12000039,West Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,All,With Children,All,All,All
S12000047,Fife,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,35-64 years,All,All
S12000039,West Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.6,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.7,All,Pensioners,All,All,All
S12000033,Aberdeen City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.65,All,All,16-34 years,All,All
S12000047,Fife,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.52,All,All,16-34 years,All,All
S12000038,Renfrewshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.1,Rented,All,All,All,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.22,All,All,16-34 years,All,All
S12000045,East Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.17,All,Adults,All,All,All
S12000038,Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,Pensioners,All,All,All
S12000030,Stirling,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.56,Owned Outright,All,All,All,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.78,All,Adults,All,All,All
S12000041,Angus,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.05,Owned Mortgage/Loan,All,All,All,All
S12000045,East Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,Pensioners,All,All,All
S12000029,South Lanarkshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.36,Rented,All,All,All,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,All,All,16-64 years,All,All
S12000014,Falkirk,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.41,All,All,All,All,All
S12000006,Dumfries and Galloway,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.63,All,All,All,All,All
S12000050,North Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,All,All,All,Female,All
S12000027,Shetland Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.91,All,All,35-64 years,All,All
S12000014,Falkirk,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.38,All,All,16-34 years,All,All
S12000030,Stirling,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.23,Owned Mortgage/Loan,All,All,All,All
S12000045,East Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.86,Rented,All,All,All,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.52,All,Pensioners,All,All,All
S12000005,Clackmannanshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.79,All,All,35-64 years,All,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,All,Adults,All,All,All
S12000050,North Lanarkshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.29,All,All,All,All,All
S12000042,Dundee City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.14,All,Pensioners,All,All,All
S12000039,West Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,Rented,All,All,All,All
S12000041,Angus,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,Rented,All,All,All,All
S12000035,Argyll and Bute,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.65,All,Pensioners,All,All,All
S12000034,Aberdeenshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,Owned Mortgage/Loan,All,All,All,All
S12000040,West Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.31,All,Pensioners,All,All,All
S12000011,East Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.94,All,All,16-34 years,All,All
S12000036,City of Edinburgh,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,Owned Mortgage/Loan,All,All,All,All
S12000011,East Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.77,All,All,35-64 years,All,All
S12000035,Argyll and Bute,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,All,With Children,All,All,All
S12000040,West Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.73,All,With Children,All,All,All
S12000034,Aberdeenshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,With Children,All,All,All
S12000019,Midlothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.54,All,All,16-34 years,All,All
S12000034,Aberdeenshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,Rented,All,All,All,All
S12000010,East Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.18,All,All,16-34 years,All,All
S12000045,East Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,Owned Outright,All,All,All,All
S12000019,Midlothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.44,All,All,35-64 years,All,All
S12000040,West Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.13,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.91,Rented,All,All,All,All
S12000020,Moray,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.05,All,All,16-34 years,All,All
S12000021,North Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.03,All,All,16-34 years,All,All
S12000026,Scottish Borders,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.36,All,All,35-64 years,All,All
S12000042,Dundee City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.6,All,Adults,All,All,All
S12000042,Dundee City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.2,Owned Mortgage/Loan,All,All,All,All
S12000034,Aberdeenshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.82,Owned Outright,All,All,All,All
S12000020,Moray,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.27,All,All,35-64 years,All,All
S12000040,West Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.95,Rented,All,All,All,All
S12000035,Argyll and Bute,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.94,All,Adults,All,All,All
S12000013,Na h-Eileanan Siar,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,All,All,16-34 years,All,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.51,All,All,16-34 years,All,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.15,All,With Children,All,All,All
S12000017,Highland,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.89,All,All,16-34 years,All,All
S12000038,Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.81,All,With Children,All,All,All
S12000014,Falkirk,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.53,All,All,35-64 years,All,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.03,All,Pensioners,All,All,All
S12000005,Clackmannanshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,All,16-34 years,All,All
S12000045,East Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.63,All,With Children,All,All,All
S12000036,City of Edinburgh,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,Adults,All,All,All
S12000021,North Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.75,All,All,35-64 years,All,All
S12000041,Angus,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.74,All,With Children,All,All,All
S12000023,Orkney Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,35-64 years,All,All
S12000033,Aberdeen City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.76,Rented,All,All,All,All
S12000041,Angus,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.16,All,Adults,All,All,All
S12000010,East Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.68,All,All,35-64 years,All,All
S12000036,City of Edinburgh,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.81,Rented,All,All,All,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.76,All,All,35-64 years,All,All
S12000023,Orkney Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.63,All,All,16-34 years,All,All
S12000034,Aberdeenshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.62,All,Pensioners,All,All,All
S12000048,Perth and Kinross,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.05,All,All,All,Female,All
S12000018,Inverclyde,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.47,Rented,All,All,All,All
S12000048,Perth and Kinross,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.7,All,All,All,Male,All
S12000019,Midlothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.97,Owned Mortgage/Loan,All,All,All,All
S12000027,Shetland Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,All,All,All,Male,All
S12000027,Shetland Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.24,All,All,All,Female,All
S12000026,Scottish Borders,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.4,All,All,All,Female,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.33,All,All,All,Female,All
S12000017,Highland,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.34,Rented,All,All,All,All
S12000018,Inverclyde,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.35,Owned Outright,All,All,All,All
S12000018,Inverclyde,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.5,Owned Mortgage/Loan,All,All,All,All
S12000019,Midlothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.42,Owned Outright,All,All,All,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.57,All,All,All,Female,All
S12000026,Scottish Borders,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.43,All,All,All,Male,All
S12000030,Stirling,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.5,All,All,All,Male,All
S12000014,Falkirk,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.73,Owned Outright,All,All,All,All
S12000039,West Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.01,All,All,All,Male,All
S12000038,Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.62,All,All,All,Female,All
S12000033,Aberdeen City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.86,All,All,All,Male,All
S12000033,Aberdeen City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,All,Female,All
S12000034,Aberdeenshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.05,All,All,All,Male,All
S12000017,Highland,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.06,Owned Mortgage/Loan,All,All,All,All
S12000036,City of Edinburgh,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,All,All,Male,All
S12000038,Renfrewshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.58,All,All,All,Male,All
S12000014,Falkirk,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.07,Rented,All,All,All,All
S12000014,Falkirk,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.64,Owned Mortgage/Loan,All,All,All,All
S12000039,West Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,All,All,All,Female,All
S12000036,City of Edinburgh,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.74,All,All,All,Female,All
S12000042,Dundee City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23,All,All,All,Female,All
S12000041,Angus,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.76,All,All,All,Female,All
S12000040,West Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.82,All,All,All,Female,All
S12000013,Na h-Eileanan Siar,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.23,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.76,All,All,All,Male,All
S12000011,East Renfrewshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.56,Owned Mortgage/Loan,All,All,All,All
S12000011,East Renfrewshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.83,Owned Outright,All,All,All,All
S12000040,West Lothian,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,All,Male,All
S12000013,Na h-Eileanan Siar,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.27,Rented,All,All,All,All
S12000041,Angus,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.33,All,All,All,Male,All
S12000010,East Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.2,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.81,All,All,All,Male,All
S12000028,South Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.53,All,All,All,Female,All
S12000029,South Lanarkshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.05,All,All,All,Male,All
S12000008,East Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,Owned Mortgage/Loan,All,All,All,All
S12000008,East Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,21.99,Rented,All,All,All,All
S12000010,East Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.2,Owned Outright,All,All,All,All
S12000010,East Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.94,Rented,All,All,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.38,All,Adults,All,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.14,All,All,All,All,All
S12000030,Stirling,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,All,16-34 years,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.85,Rented,All,All,All,All
S12000019,Midlothian,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.05,All,All,All,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.5,Owned Mortgage/Loan,All,All,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.22,All,All,35-64 years,All,All
S12000028,South Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,All,35-64 years,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.02,All,All,All,Female,All
S12000030,Stirling,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.54,All,All,35-64 years,All,All
S12000033,Aberdeen City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.08,All,All,16-34 years,All,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.01,All,All,All,Male,All
S12000047,Fife,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.38,Owned Outright,All,All,All,All
S12000040,West Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.13,All,All,35-64 years,All,All
S12000026,Scottish Borders,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.23,All,All,All,All,All
S12000021,North Ayrshire,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.84,All,All,All,All,All
S12000010,East Lothian,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.52,All,All,All,All,All
S12000006,Dumfries and Galloway,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,All,All,All,All,All
S12000011,East Renfrewshire,2014-2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.19,All,All,All,All,All
