Generated by http://statistics.gov.scot,2021-01-24T15:50:43+00:00
http://statistics.gov.scot/data/hospital-admissions,Hospital Admissions
measure type,Count
Admission Type,Cancer
Age,All
Gender,All
Measure (cell values): ,Count(Admissions)

,,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,2005,2165,2486,2400,1990,2608,2346,"","","",2189
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,2028,1861,2171,2056,1632,1977,2079,"","","",2078
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,2652,2539,2570,2551,1954,2563,2307,"","","",2769
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",2084,1888,2202,2436,2054,2060,2225,"","","",2263
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,1444,1396,1502,1333,1385,1358,1112,"","","",1156
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,1448,1378,1349,1275,1440,1180,1114,"","","",901
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,1914,1812,1951,1909,1880,1768,1362,"","","",1374
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,2002,2359,2254,2408,2469,2343,2449,"","","",2187
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,1794,1932,2122,2140,2350,2322,2463,"","","",2391
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,1645,1451,1452,1722,1589,1476,1492,"","","",1643
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,1887,1928,2154,2069,2319,2458,2198,"","","",2038
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,2067,2140,2081,1812,1945,2027,2103,"","","",2347
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,2095,2108,2356,2108,2182,2012,2093,"","","",2358
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,1868,1983,2080,2185,2097,2070,1969,"","","",2396
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,1205,1410,1399,1366,1528,1532,1473,"","","",1601
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,1902,2052,2367,2286,2345,2233,2213,"","","",2280
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",1710,1998,2297,2067,2205,2338,2233,"","","",1449
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,1687,1782,1749,1802,2077,2308,2202,"","","",2390
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,2232,2667,2656,2798,2867,2899,2657,"","","",2765
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,2017,2432,2256,2521,2972,2139,2541,"","","",2435
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,2005,2104,2055,1988,1942,1793,1871,"","","",1975
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,2074,1920,2348,2212,2212,2433,2170,"","","",2396
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,2403,2242,2384,2645,1975,2155,2405,"","","",2900
