FeatureCode,DateCode,Measurement,Units,Value,Type Of Tenure,Household Type,Age,Gender,Limiting Long-term Physical or Mental Health Condition
S08000032,2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.15,All,Pensioners,All,All,All
S08000024,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.47,All,All,16-64 years,All,All
S12000006,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.83,Rented,All,All,All,All
S13002701,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.44,All,All,All,All,All
S12000050,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.49,All,Adults,All,All,All
S12000042,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.87,All,All,16-64 years,All,All
S08000022,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.48,All,All,All,All,All
S08000019,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.87,All,All,All,All,All
S12000010,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.78,All,All,All,All,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.39,All,All,16-64 years,All,All
S13002704,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.92,All,All,All,All,All
S12000045,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.57,All,All,16-64 years,All,All
S12000041,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.61,All,All,16-64 years,All,All
S08000017,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.63,All,All,All,All,All
S12000005,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.61,All,All,All,All,All
S08000022,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.38,All,All,35-64 years,All,All
S08000020,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.42,All,All,16-64 years,All,All
S13002724,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.21,All,All,All,All,All
S08000016,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.08,All,All,All,All,All
S08000020,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,All,All,All,All,All
S13002702,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.34,All,All,All,All,All
S08000015,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,All,All,All,All,All
S12000030,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.67,All,All,35-64 years,All,All
S08000028,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.74,All,All,All,Male,All
S08000031,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.25,Owned Mortgage/Loan,All,All,All,All
S12000030,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.12,Rented,All,All,All,All
S12000028,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.11,All,All,16-34 years,All,All
S12000039,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.62,Owned Outright,All,All,All,All
S12000039,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.73,All,Adults,All,All,All
S12000035,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.68,Owned Mortgage/Loan,All,All,All,All
S13002777,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.15,All,All,All,All,All
S12000035,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.5,Rented,All,All,All,All
S13002764,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,All,All,All,All,All
S13002781,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.82,All,All,All,All,All
S12000028,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,All,35-64 years,All,All
S12000042,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.75,All,With Children,All,All,All
S13002778,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.51,All,All,All,All,All
S12000030,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.15,All,With Children,All,All,All
S13002787,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.8,All,All,All,All,All
S12000038,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.23,All,Adults,All,All,All
S12000017,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,35-64 years,All,All
S12000039,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.51,All,With Children,All,All,All
S12000047,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,35-64 years,All,All
S12000039,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.6,Owned Mortgage/Loan,All,All,All,All
S12000028,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.7,All,Pensioners,All,All,All
S12000033,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.65,All,All,16-34 years,All,All
S12000047,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.52,All,All,16-34 years,All,All
S12000038,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.1,Rented,All,All,All,All
S12000029,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.22,All,All,16-34 years,All,All
S12000045,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.17,All,Adults,All,All,All
S92000003,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.08,All,Adults,All,All,All
S92000003,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.37,All,Pensioners,All,All,All
S12000038,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,Pensioners,All,All,All
S08000016,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.81,All,All,All,Male,All
S12000030,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.56,Owned Outright,All,All,All,All
S14000025,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.69,All,All,All,All,All
S12000029,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.78,All,Adults,All,All,All
S12000041,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.05,Owned Mortgage/Loan,All,All,All,All
S13002762,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.46,All,All,All,All,All
S12000045,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,Pensioners,All,All,All
S12000029,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.36,Rented,All,All,All,All
S08000025,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.71,All,All,All,Female,All
S16000114,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.6,All,All,All,All,All
S16000113,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.55,All,All,All,All,All
S13002671,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.7,All,All,All,All,All
S13002673,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.85,All,All,All,All,All
